,ward,type,location,year,est_cost,id,point_location,lat,long,query
1,46,Miscellaneous-CDOT,10 Decorative Benches,2006,27000.0,36803,10 Decorative Benches,,,google
34,25,Sidewalk Menu,1002 W 18TH ST,2020,23607.86,20777,1002 W 18TH ST,,,census
86,25,Sidewalk Menu,1025 W 16TH ST,2016,1760.75,20658,1025 W 16TH ST,,,census
87,25,Sidewalk Menu,1025 W 16TH ST,2017,61497.61,20688,1025 W 16TH ST,,,census
103,42,Street Light Pole Painting Menu,1031 N STATE ST,2017,3600.0,34135,1031 N STATE ST,,,census
248,27,POD Camera,11 locations,2007,192000.0,21773,11 locations,,,google
320,2,Street Lighting,1124 S ASHLAND AV,2009,1000.0,1546,1124 S ASHLAND AV,,,census
455,26,Sidewalk Menu,1216 N CAMPBELL AVE,2016,1800.96,21380,1216 N CAMPBELL AVE,,,census
503,1,Alley Resurfacing Menu,1244 N ASHLAND AVE,2020,7710.855,40255,1244 N ASHLAND AVE,,,census
513,28,Alley Apron Menu,1251 S ASHLAND AVE,2021,39939.8,23039,1251 S ASHLAND AVE,,,census
571,46,Curb & Gutter Menu,1304 W SUNNYSIDE AVE,2022,2986.75,37252,1304 W SUNNYSIDE AVE,,,census
599,46,Miscellaneous CDOT Projects,1316 W WILSON AVE,2016,750.0,37097,1316 W WILSON AVE,,,census
602,2,Street Lighting,1319 S ASHLAND AV,2010,250.0,1724,1319 S ASHLAND AV,,,census
603,2,Street Light Upgrade,1319 S STATE ST,2012,21000.0,1926,1319 S STATE ST,,,census
604,2,Miscellaneous Other,1319 S STATE ST,2013,34200.0,1956,1319 S STATE ST,,,census
689,1,Alley Resurfacing Menu,1400 N CAMPBELL AVE,2019,21031.25,40242,1400 N CAMPBELL AVE,,,census
707,2,Pole Painting,1400 S ASHLAND AV,2009,300.0,1497,1400 S ASHLAND AV,,,census
708,2,Street Lighting,1400 S ASHLAND AV,2009,400.0,1548,1400 S ASHLAND AV,,,census
778,25,Street Light Upgrade Menu,1437 W 18TH ST,2020,500.0,20788,1437 W 18TH ST,,,census
817,9,POD Camera,15 locations,2007,360000.0,6442,15 locations,,,google
830,2,OEMC POD CAMERA - 1500 W DIVISION,1500 W DIVISION ST,2018,27011.0,2223,1500 W DIVISION ST,,,census
848,25,Miscellaneous CDOT Projects,1502 W 18TH ST,2022,660.0,41703,1502 W 18TH ST,,,census
860,25,Sidewalk Menu,1508 W 17TH ST,2020,17108.88,20780,1508 W 17TH ST,,,census
874,25,Sidewalk Menu,1515 W 18TH ST,2021,5314.72,20810,1515 W 18TH ST,,,census
883,47,Curb & Gutter Menu,1518 W WILSON AVE,2020,38531.1,38150,1518 W WILSON AVE,,,census
887,2,Alley Resurfacing Menu,1520 W DIVISION ST,2019,4330.325,40299,1520 W DIVISION ST,,,census
893,25,Sidewalk Menu,1523 W 18TH ST,2020,2396.77,20781,1523 W 18TH ST,,,census
894,25,Sidewalk Menu,1523 W 18TH ST,2020,3389.63,20787,1523 W 18TH ST,,,census
918,1,Sidewalk Menu,1542 N CAMPBELL AVE,2019,10482.66,814,1542 N CAMPBELL AVE,,,census
1023,32,Curb & Gutter Menu,1633 N WESTERN AVE,2019,3613.47,26373,1633 N WESTERN AVE,,,census
1140,25,Sidewalk Menu,1720 W 21ST ST,2022,17933.97,20868,1720 W 21ST ST,,,census
1172,47,Curb & Gutter Menu,1742 W WILSON AVE,2020,51500.0,38152,1742 W WILSON AVE,,,census
1175,25,Sidewalk Menu,1745 W 17TH ST,2020,6899.71,20768,1745 W 17TH ST,,,census
1181,1,Street Resurfacing Menu,1750 W DIVISION ST,2021,20349.41,903,1750 W DIVISION ST,,,census
1187,47,Alley Apron Menu,1751 W WILSON AVE,2017,1038.55,37990,1751 W WILSON AVE,,,census
1188,47,Alley Apron Menu,1751 W WILSON AVE,2018,13089.99,38059,1751 W WILSON AVE,,,census
1194,1,Street Lighting,1756 N CAMPBELL AV,2010,5000.0,368,1756 N CAMPBELL AV,,,census
1255,3,Speed Indicator Signs,1808 S STATE ST,2022,11000.0,3013,1808 S STATE ST,,,census
1303,3,Speed Indicator Signs,1829 S STATE ST,2022,5500.0,40374,1829 S STATE ST,,,census
1317,29,Alley Resurfacing Menu,1837 N NATOMA AVE,2022,22075.835,42088,1837 N NATOMA AVE,,,census
1383,35,Street Light Upgrade,1904 N CALIFORNIA AVE,2012,1000.0,28512,1904 N CALIFORNIA AVE,,,census
1401,29,Sidewalk Menu,1920 N NATOMA AVE,2022,6733.31,23747,1920 N NATOMA AVE,,,census
1421,1,Miscellaneous-CDOT,1932 W. Division St.,2008,8100.0,260,1932 W. Division St.,,,census
1479,11,POD Camera,2 Option i POD,2005,26838.0,8078,2 Option i POD,,,google
1480,11,POD Camera,2 Option I POD,2006,45161.0,8121,2 Option I POD,,,google
1567,3,Alley Resurfacing Menu,2036,2020,10976.615,40343,2036,,,google
1666,25,Sidewalk Menu,2131 W 24TH ST,2021,19770.49,20823,2131 W 24TH ST,,,census
1675,25,Curb & Gutter Menu,2137 W 23RD ST,2018,9496.22,41675,2137 W 23RD ST,,,census
1695,25,Curb & Gutter Menu,2145 W 23RD ST,2018,9496.22,41676,2145 W 23RD ST,,,census
1697,36,Prosser High School Community Garden,2148 N LONG AVE,2016,25000.0,29447,2148 N LONG AVE,,,census
1698,36,Prosser Academy Community Garden,2148 N LONG AVE,2020,20000.0,29648,2148 N LONG AVE,,,census
1794,12,Street Light Upgrade,2225 S CALIFORNIA AVE,2015,400.0,9376,2225 S CALIFORNIA AVE,,,census
1849,36,Sidewalk Menu,2247 N LONG AVE,2022,2146.42,29760,2247 N LONG AVE,,,census
1884,25,Street Lighting,2300 S WENTWORTH AV,2009,43000.0,20253,2300 S WENTWORTH AV,,,census
1911,25,Alley Resurfacing Menu (1-1),2314 W 23RD ST,2020,18239.795,41688,2314 W 23RD ST,,,census
1932,25,Sidewalk Menu,2324 W 24TH ST,2021,13541.62,20826,2324 W 24TH ST,,,census
1957,25,Sidewalk Menu,2341 W 24TH ST,2016,4015.79,20659,2341 W 24TH ST,,,census
1982,25,Alley Resurfacing Menu,2358 S WENTWORTH AVE,2019,13612.63,41682,2358 S WENTWORTH AVE,,,census
2009,25,Miscellaneous CDOT Projects,2403 S WENTWORTH AVE,2019,12278.22,20736,2403 S WENTWORTH AVE,,,census
2148,11,Street Light Upgrade Menu,2510 S WENTWORTH AVE,2022,2800.0,8800,2510 S WENTWORTH AVE,,,census
2164,43,Miscellaneous Other,2523 N HALSTED ST,2014,18620.0,34921,2523 N HALSTED ST,,,census
2409,3,Sidewalk Menu - Change Order,2730 S State - SW corner,2010,15131.0,2573,2730 S State - SW corner,,,census
2734,46,Miscellaneous Other,30 Trees to be planted in the Ward,2012,13353.0,36992,30 Trees to be planted in the Ward,,,google
2738,42,Miscellaneous Other,300 N STATE ST,2013,54877.0,33921,300 N STATE ST,,,census
2739,42,In-Road State Law Stop For Pedestrians Signs Menu,300 N STATE ST,2017,350.0,34117,300 N STATE ST,,,census
2740,42,Pavement Markings Menu,300 N STATE ST,2018,12900.0,34167,300 N STATE ST,,,census
3042,11,Sidewalk Menu,3203,2012,3367.0,8344,3203,,,google
3148,42,In-Road State Law Stop For Pedestrians Signs Menu,330 N STATE ST,2020,350.0,34209,330 N STATE ST,,,census
3393,27,Alley Resurfacing Menu,3448 W OHIO ST,2016,33965.65,22111,3448 W OHIO ST,,,census
4029,28,POD Camera,3900 W. Ma,2011,1800.0,22657,3900 W. Ma,,,google
4095,33,Bollard Menu,4 .00,2006,2586.0,26572,4 .00,,,google
4161,28,POD Camera,4036 W. C,2011,1800.0,22655,4036 W. C,,,google
4264,27,1 LPR Existing Camera - I-290 & Ashland,415 S ASHLAND AVE,2021,10971.0,22252,415 S ASHLAND AVE,,,census
4283,3,Floodlight Menu,42 E 29TH ST,2018,900.0,2819,42 E 29TH ST,,,census
4573,49,2 Murals on CTA Embankments 7,444 N ASHLAND AVE,2019,88000.0,39634,444 N ASHLAND AVE,,,census
4865,28,POD Camera,4737 W. H,2011,1800.0,22656,4737 W. H,,,google
6468,4,3 LPR No POD Cameras: 101 W Ida B Wells; 110 E Roosevelt Rd; 600 S State St,600 S STATE ST,2021,27410.0,40406,600 S STATE ST,,,census
6684,23,POD Camera,6140 SMelvi,2007,21714.2857142857,41512,6140 SMelvi,,,google
7505,28,Sidewalk Menu,727 S CAMPBELL AVE,2016,7687.18,22901,727 S CAMPBELL AVE,,,census
7704,3,Miscellaneous Other,8 decorative garbage cans,2012,11450.0,2627,8 decorative garbage cans,,,google
7705,25,POD Camera,8 locations,2006,264000.0,20102,8 locations,,,google
7706,28,POD Camera,8 locations,2006,192000.0,22467,8 locations,,,google
7707,13,Miscellaneous-Other,8 th Dist Police Station,2005,1178.0,9780,8 th Dist Police Station,,,google
7708,13,Miscellaneous-Other,8 th Dist Police Station,2006,1777.0,9854,8 th Dist Police Station,,,google
7908,29,Street Speed Hump Menu,836 N PARKSIDE AVE,2017,1850.0,23542,836 N PARKSIDE AVE,,,census
8114,17,POD Camera,9 locations,2006,216000.0,13874,9 locations,,,google
8309,25,Street Resurfacing Menu,953 W 18TH ST,2019,5748.79,20759,953 W 18TH ST,,,census
8310,25,Street Resurfacing Menu,953 W 18TH ST,2019,4066.92,20760,953 W 18TH ST,,,census
8311,25,Sidewalk Menu,953 W 18TH ST,2020,16846.37,20776,953 W 18TH ST,,,census
8380,23,Chicago Park District,Archer Playground Park Renovation,2011,100000.0,18469,Archer Playground Park,,,google
8381,23,Chicago Park District,Archer Playground,2012,150000.0,18571,Archer Playground,,,google
8382,48,POD Camera,Argy,2011,1800.0,38574,Argy,,,google
8389,25,Miscellaneous Other,Arts & Culture,2013,140000.0,20569,Arts & Culture,,,google
8395,28,Street Light Residential Staggered Piggy Back Menu,AVE (250 N),2021,41570.75,42016,AVE (250 N),,,google
8398,49,Street Lighting,BELL-BIRCHWOOD TO HOWARD,2005,60000.0,39075,BELL-BIRCHWOOD TO HOWARD,,,google
8404,47,Miscellaneous Other,Berteau & Clark to Lincoln,2012,210000.0,37690,Berteau & Clark to Lincoln,,,google
8413,46,POD Camera,Broadway & Sheridan,2011,20000.0,36961,Broadway & Sheridan,,,census
8418,48,Miscellaneous-CDOT,Bryn Mawr Ave & @ Lake Shore Dr.,2008,11900.0,38456,Bryn Mawr Ave & @ Lake Shore Dr.,,,google
8423,40,Sidewalk Menu - Change Order,California (Gunnison Ainlsie),2010,598.0,32279,California (Gunnison Ainlsie),,,google
8427,49,Chicago Park District,Capital Upgrades,2010,89790.0,39265,Capital Upgrades,,,google
8428,49,Chicago Park District,Capital Upgrades,2011,89790.0,39305,Capital Upgrades,,,google
8439,3,Miscellaneous-Other,Christmass Tree decorations,2005,10000.0,2393,Christmass Tree decorations,,,google
8440,34,Miscellaneous Other,City owned vacant land (signs),2012,54015.0,27650,City owned vacant land (signs),,,google
8468,46,Miscellaneous-CDOT,Decorative Bench,2009,2100.0,36872,Decorative Bench,,,google
8469,2,Miscellaneous-CDOT,Decorative Waste Receptacles - various locations,2010,55851.0,1666,Decorative Waste Receptacles - various locations,,,google
8470,2,Miscellaneous-CDOT,Decorative Waste Receptacles - various locations,2011,33963.0,1823,Decorative Waste Receptacles - various locations,,,google
8479,23,Chicago Park District,Dog Park,2010,80000.0,18446,Dog Park,,,google
8482,4,Miscellaneous-Other,Donoghue and Price Schools - murals,2009,20000.0,3160,Donoghue Elementary School,,,google
8519,3,Street Resurface Menu,E 42ND STDR. MARTIN LUTHER KING JR. DR (400 E) & S VINCENNES AV (515 E),2011,62079.0,2608,E 42ND ST DR. MARTIN LUTHER KING JR. DR (400 E) & S VINCENNES AV (515 E),,,google
8608,6,Curb/Gutter Menu,E 80TH STDR. MARTIN LUTHER KING JR. DR (400 E) & S EBERHART AV (500 E),2011,48302.0,4513,E 80TH ST DR. MARTIN LUTHER KING JR. DR (400 E) & S EBERHART AV (500 E),,,google
8613,6,Street Resurface Menu,E 84TH STDR. MARTIN LUTHER KING JR. DR (400 E) & S RHODES AV (520 E),2011,101651.0,4528,E 84TH ST DR. MARTIN LUTHER KING JR. DR (400 E) & S RHODES AV (520 E),,,google
8714,2,Pole Painting,E SOLIDARITY DR & S LYNN WHITE DR (800 E)Dead End (900 E),2011,6000.0,1787,E SOLIDARITY DR & S LYNN WHITE DR (800 E)Dead End (900 E),,,google
8715,2,Street Lighting,E SOLIDARITY DR & S LYNN WHITE DR (800 E)Dead End (900 E),2011,9600.0,1803,E SOLIDARITY DR & S LYNN WHITE DR (800 E)Dead End (900 E),,,google
8720,10,Miscellaneous-CDOT,E107 Ewing to 1 st alley east,2006,8887.0,7214,E107 Ewing to 1 st alley east,,,google
8725,42,New Alley Construction,"Erie, Ontario, Kingsbury & Orleans",2006,51281.0,33553,"Erie, Ontario, Kingsbury & Orleans",,,google
8734,47,Chicago Park District,Filbert Playlot Park,2012,15000.0,37713,Filbert Park Park,,,google
8735,47,Chicago Park District,Filbert Playlot,2010,100000.0,37610,Filbert Park,,,google
8751,2,Miscellaneous-Other,Fred Kramer Park,2010,7910.0,1782,Fred Kramer Park,,,google
8762,24,New Alley Construction,"Gladys, Van Buren, Dead End, Kilpatrick",2010,1507.0,19539,"Gladys, Van Buren, Dead End, Kilpatrick",,,google
8796,1,Miscellaneous-CDOT,Hermitage Green Space,2008,24320.0,253,Hermitage Green Space,,,google
8801,26,POD Camera,Hirsch & Rockwell (northwest corner),2011,20000.0,21212,Hirsch & Rockwell (northwest corner),,,google
8802,48,POD Camera,Hollywood & Kenmore (2012 installation),2010,22500.0,38537,Hollywood & Kenmore (2012 installation),,,google
8807,23,Miscellaneous-CDOT,Honorary Signs - Sanchez Dr.,2008,102.0,18197,Honorary Signs - Sanchez Dr.,,,google
8820,42,Miscellaneous-CDOT,Illinois & Michigan to Columbus Dr.,2006,25000.0,33535,Illinois & Michigan to Columbus Dr.,,,google
8824,47,Miscellaneous Other,Installation of four bike stations,2012,265000.0,37693,Installation of four bike stations,,,google
8825,1,Miscellaneous-CDOT,Installation of two bike stations,2011,106000.0,401,Installation of two bike stations,,,google
8879,47,Streetscape,Lincoln & Western,2007,2500.0,37449,Lincoln & Western,,,google
8916,29,Miscellaneous-CDOT,Mayfield & Madison to Adams,2006,41560.0,23126,Mayfield & Madison to Adams,,,google
8932,14,Model Block,Model block various locations,2005,42335.0,10988,Model block various locations,,,google
8933,6,Model Block,Model block,2007,21000.0,4358,Model block,,,google
9071,43,In-Road State Law Stop for Pedestrians S,N CANNON DR & N CANNON DR,2011,410.0,34668,N CANNON DR & N CANNON DR,,,google
9393,27,Street Lighting,N HARDING AVE & W ONTARIO ST (620 N)Dead End (300 N),2011,160000.0,21914,N HARDING AVE & W ONTARIO ST (620 N)Dead End (300 N),,,google
10051,42,Miscellaneous-CDOT,Ohio Street Dog Park Fence,2006,11701.0,33529,Ohio Street Dog Park Fence,,,google
10057,50,Chicago Park District,Parks,2005,700000.0,39785,Parks,,,google
10072,13,Miscellaneous-Other,Police Bikes,2007,8785.0,9942,Police Bikes,,,google
10075,2,Miscellaneous-Other,Prairie & 35 th,2008,2259.66666666667,40287,Prairie & 35 th,,,google
10082,2,Miscellaneous-CDOT,Purchase of 32 decorative waste baskets,2010,42618.0,1663,Purchase of 32 decorative waste baskets,,,google
10087,4,Miscellaneous-CDOT,Removal & relocation bus shelters,2008,18000.0,3119,Removal & relocation bus shelters,,,google
10089,32,Miscellaneous-CDOT,Replace faded bikeway marking,2009,30000.0,25939,Replace faded bikeway marking,,,google
10091,48,Miscellaneous-Other,Ridge Firehouse Park,2005,291835.0,38357,Ridge Firehouse Park,,,google
10092,48,Acquisition,Ridge Firehouse Park,2006,38164.0,38382,Ridge Firehouse Park,,,google
10129,10,Street Resurface Menu,S AVENUE BE 108 ST (10800 S) & E 109 ST (10900 S),2011,60797.0,7550,S AVENUE BE 108 ST (10800 S) & E 109th ST (10900 S),,,google
10133,10,Street Resurface Menu,S AVENUE HE 112 ST (11200 S) & E 113 ST (11300 S),2011,70127.0,7549,S AVENUE HE 112 ST (11200 S) & E 113th ST (11300 S),,,google
10134,10,Sidewalk Menu,S AVENUE HE 98 ST (9800 S) & E 99 ST (9900 S),2011,15132.0,7538,S AVENUE HE 98 ST (9800 S) & E 99th ST (9900 S),,,google
10137,10,Street Resurface Menu(1-5),S AVENUE ME 97 ST (9658 S) & E 96 ST (9600 S),2011,51675.0,7555,S AVENUE ME 97 ST (9658 S) & E 96th ST (9600 S),,,google
10142,21,Sidewalk Menu,S BEVERLY AVE & W 95 ST (9500 S)Dead End (9366 S),2011,29698.0,16835,S BEVERLY AVE & W 95th ST (9500 S)Dead End (9366 S),,,google
10314,13,Alley Apron Menu,S KEATING AVE & W 64 ST (6400 S),2011,11371.0,10097,S KEATING AVE & W 64th ST (6400 S),,,google
10577,32,Schools,Savin school art project,2005,5000.0,25707,Savin school,,,google
10580,19,Schools,Sctherland School,2006,60000.0,15351,Sctherland School,,,google
10598,5,Miscellaneous-Other,Shot Spotters,2009,167000.0,3902,Shot Spotters,,,google
10599,1,Miscellaneous-CDOT,Sign Installation project,2005,8885.0,21,Sign Installation project,,,google
10604,49,Miscellaneous-Other,Solar Powered Garbage Containers- 8 locations (201,2011,2628.0,39308,Solar Powered Garbage Containers- 8 locations (201,,,google
10613,42,W. OHIO; FRANKLIN & CHICAGO MONTGOMERY WARD PARK,ST,2018,36014.6666666667,42966,ST,,,google
10615,23,Chicago Park District,Stars & Stripes Playground,2013,154112.0,18623,Stars & Stripes Playground,,,google
10623,48,Schools,Swift and Pierce schools,2007,155000.0,38450,Swift Elementary School,,,google
10630,10,Miscellaneous-Other,TIF Study Expansion - Calumet Marina,2009,20000.0,7475,TIF Study Expansion - Calumet Marina,,,google
10638,44,Miscellaneous Other,Tree installation,2012,784.0,35537,Tree installation,,,google
10639,3,Miscellaneous-Other,Tree Planting - 4239,2011,3300.0,2616,Tree Planting - 4239,,,google
10643,3,Miscellaneous Other,Trees on MLK Drive (2012 installation),2013,963.0,2660,Trees on MLK Drive (2012 installation),,,google
10657,47,Miscellaneous Other,Various arterial Streets (in file) - Tree planting,2012,23765.0,37691,Various arterial Streets (in file) - Tree planting,,,google
10659,12,Street Lighting,VARIOUS LOCATIONS IN WARD,2008,2450.0,9061,VARIOUS LOCATIONS IN WARD,,,google
10661,14,Sidewalk Menu - Change Order,various locations,2011,18476.0,11585,various locations,,,google
10662,39,Tree Planting in Ward,various locations,2018,10000.0,31844,various locations,,,google
10663,13,Model Block,Various Locations,2005,275000.0,9745,Various Locations,,,google
10664,4,Miscellaneous-Other,Viaduct art Panel at 53 rd & 55 th St,2009,10500.0,3162,Viaduct art Panel at 53 rd & 55 th St,,,google
10697,2,Street Lighting,W 16 ST & N MICHIGAN AV,2009,5000.0,1542,W 16th ST & N MICHIGAN AV,,,google
10879,13,Street Resurface Menu,W 66TH STDead End (4623 W) & S KILBOURN AV (4500 W),2011,33579.0,10130,W 66TH STDead End (4623 W) & S KILBOURN AV (4500 W),,,google
11127,39,Floodlight Menu,W CARMEN AVE & N SPAULDING AVE ON & N KENTON AVE FROM & W SUNNYSIDE AVE (4500 N) TO,2013,1200.0,31680,W CARMEN AVE & N SPAULDING AVE ON & N KENTON AVE FROM & W SUNNYSIDE AVE (4500 N) TO,,,google
11640,41,Miscellaneous-CDOT,W Nordica between Gunnison & 1 st Alley,2006,6721.0,32795,W Nordica between Gunnison & 1 st Alley,,,google
11676,47,Curb/Gutter Menu,W PATTERSON AVEDead End (4652 W)Dead End (4521 W),2011,90.0,37639,W PATTERSON AVEDead End (4652 W)Dead End (4521 W),,,google
11888,4,Miscellaneous-CDOT,Woodlawn to Harper,2007,47200.0,3085,Woodlawn to Harper,,,google
11889,9,High Definition Camera,,2012,1559.0,6611,,,,
11890,9,High Definition Camera,,2013,20941.0,6629,,,,
11891,9,High Definition Camera,,2013,22500.0,6630,,,,
11892,10,High Definition Camera,,2013,22500.0,7654,,,,
11893,22,POD Camera,,2011,740000.0,17589,,,,
11894,48,High Definition Camera,,2012,22500.0,38594,,,,
